shape,x,y,size_1,size_2
circle,9.878,-15.01,0.3,0
circle,10.333,-15.011,0.3,0
circle,10.788,-15.012,0.3,0
circle,11.243,-15.014,0.3,0
circle,11.698,-15.015,0.3,0
circle,12.153,-15.016,0.3,0
circle,12.608,-15.017,0.3,0
circle,13.063,-15.018,0.3,0
circle,13.518,-15.019,0.3,0
circle,13.973,-15.02,0.3,0
circle,14.428,-15.021,0.3,0
circle,14.883,-15.023,0.3,0
circle,15.338,-15.024,0.3,0
circle,15.793,-15.025,0.3,0
circle,16.248,-15.026,0.3,0
circle,16.703,-15.027,0.3,0
circle,-0.077,-16.715,0.3,0
circle,0.375,-16.719,0.3,0
circle,0.827,-16.723,0.3,0
circle,1.279,-16.727,0.3,0
circle,1.731,-16.731,0.3,0
circle,2.183,-16.735,0.3,0
circle,2.635,-16.74,0.3,0
circle,3.087,-16.744,0.3,0
circle,3.538,-16.748,0.3,0
circle,3.99,-16.752,0.3,0
circle,4.442,-16.756,0.3,0
circle,4.894,-16.761,0.3,0
circle,5.346,-16.765,0.3,0
circle,5.798,-16.769,0.3,0
circle,6.25,-16.773,0.3,0
circle,6.702,-16.777,0.3,0
circle,7.154,-16.781,0.3,0
circle,7.606,-16.786,0.3,0
circle,8.057,-16.79,0.3,0
circle,8.509,-16.794,0.3,0
circle,8.961,-16.798,0.3,0
circle,9.413,-16.802,0.3,0
circle,9.865,-16.806,0.3,0
circle,10.317,-16.811,0.3,0
circle,10.769,-16.815,0.3,0
circle,11.221,-16.819,0.3,0
circle,11.673,-16.823,0.3,0
circle,12.125,-16.827,0.3,0
circle,12.576,-16.832,0.3,0
circle,13.028,-16.836,0.3,0
circle,13.48,-16.84,0.3,0
circle,13.932,-16.844,0.3,0
circle,14.384,-16.848,0.3,0
circle,14.836,-16.852,0.3,0
circle,15.288,-16.857,0.3,0
circle,15.74,-16.861,0.3,0
circle,16.192,-16.865,0.3,0
circle,16.644,-16.869,0.3,0
circle,-0.103,-18.525,0.3,0
circle,0.351,-18.53,0.3,0
circle,0.805,-18.535,0.3,0
circle,1.259,-18.54,0.3,0
circle,1.713,-18.545,0.3,0
circle,2.167,-18.55,0.3,0
circle,2.621,-18.554,0.3,0
circle,3.075,-18.559,0.3,0
circle,3.529,-18.564,0.3,0
circle,3.983,-18.569,0.3,0
circle,4.437,-18.574,0.3,0
circle,4.891,-18.579,0.3,0
circle,5.345,-18.584,0.3,0
circle,5.799,-18.588,0.3,0
circle,6.253,-18.593,0.3,0
circle,6.707,-18.598,0.3,0
circle,7.161,-18.603,0.3,0
circle,7.615,-18.608,0.3,0
circle,8.069,-18.613,0.3,0
circle,8.523,-18.618,0.3,0
circle,8.977,-18.622,0.3,0
circle,9.431,-18.627,0.3,0
circle,9.885,-18.632,0.3,0
circle,10.339,-18.637,0.3,0
circle,10.793,-18.642,0.3,0
circle,11.247,-18.647,0.3,0
circle,11.701,-18.652,0.3,0
circle,12.155,-18.657,0.3,0
circle,12.609,-18.661,0.3,0
circle,13.062,-18.666,0.3,0
circle,13.516,-18.671,0.3,0
circle,13.97,-18.676,0.3,0
circle,14.424,-18.681,0.3,0
circle,14.878,-18.686,0.3,0
circle,15.332,-18.691,0.3,0
circle,15.786,-18.695,0.3,0
circle,16.24,-18.7,0.3,0
circle,16.694,-18.705,0.3,0
circle,-0.086,-20.395,0.3,0
circle,0.37,-20.398,0.3,0
circle,0.826,-20.401,0.3,0
circle,1.282,-20.404,0.3,0
circle,1.738,-20.407,0.3,0
circle,2.194,-20.41,0.3,0
circle,2.65,-20.413,0.3,0
circle,3.106,-20.416,0.3,0
circle,3.563,-20.419,0.3,0
circle,4.019,-20.422,0.3,0
circle,4.475,-20.425,0.3,0
circle,4.931,-20.428,0.3,0
circle,5.387,-20.431,0.3,0
circle,5.843,-20.434,0.3,0
circle,6.299,-20.437,0.3,0
circle,6.755,-20.44,0.3,0
circle,7.211,-20.443,0.3,0
circle,7.668,-20.446,0.3,0
circle,8.124,-20.449,0.3,0
circle,8.58,-20.452,0.3,0
circle,9.036,-20.455,0.3,0
circle,9.492,-20.458,0.3,0
circle,9.948,-20.461,0.3,0
circle,10.404,-20.464,0.3,0
circle,10.86,-20.467,0.3,0
circle,11.317,-20.47,0.3,0
circle,11.773,-20.473,0.3,0
circle,12.229,-20.476,0.3,0
circle,12.685,-20.479,0.3,0
circle,13.141,-20.482,0.3,0
circle,13.597,-20.485,0.3,0
circle,14.053,-20.488,0.3,0
circle,14.509,-20.491,0.3,0
circle,14.965,-20.494,0.3,0
circle,15.422,-20.497,0.3,0
circle,15.878,-20.5,0.3,0
circle,16.334,-20.503,0.3,0
circle,16.79,-20.506,0.3,0
