object_id,row_id,x_coord,y_coord,orientation_deg
256,7,12.153,-15.016,-0.14
257,7,12.608,-15.017,-0.14
258,7,13.063,-15.018,-0.14
259,7,13.518,-15.019,-0.14
260,7,13.973,-15.02,-0.14
261,7,14.428,-15.021,-0.14
262,7,14.883,-15.023,-0.14
263,7,15.338,-15.024,-0.14
264,7,15.793,-15.025,-0.14
265,7,16.248,-15.026,-0.14
266,7,16.703,-15.027,-0.14
267,8,-0.077,-16.715,-0.53
268,8,0.375,-16.719,-0.53
269,8,0.827,-16.723,-0.53
270,8,1.279,-16.727,-0.53
271,8,1.731,-16.731,-0.53
272,8,2.183,-16.735,-0.53
273,8,2.635,-16.74,-0.53
274,8,3.087,-16.744,-0.53
275,8,3.538,-16.748,-0.53
276,8,3.99,-16.752,-0.53
277,8,4.442,-16.756,-0.53
278,8,4.894,-16.761,-0.53
279,8,5.346,-16.765,-0.53
280,8,5.798,-16.769,-0.53
281,8,6.25,-16.773,-0.53
282,8,6.702,-16.777,-0.53
283,8,7.154,-16.781,-0.53
284,8,7.606,-16.786,-0.53
285,8,8.057,-16.79,-0.53
286,8,8.509,-16.794,-0.53
287,8,8.961,-16.798,-0.53
288,8,9.413,-16.802,-0.53
289,8,9.865,-16.806,-0.53
290,8,10.317,-16.811,-0.53
291,8,10.769,-16.815,-0.53
292,8,11.221,-16.819,-0.53
293,8,11.673,-16.823,-0.53
294,8,12.125,-16.827,-0.53
295,8,12.576,-16.832,-0.53
296,8,13.028,-16.836,-0.53
297,8,13.48,-16.84,-0.53
298,8,13.932,-16.844,-0.53
299,8,14.384,-16.848,-0.53
300,8,14.836,-16.852,-0.53
301,8,15.288,-16.857,-0.53
302,8,15.74,-16.861,-0.53
303,8,16.192,-16.865,-0.53
304,8,16.644,-16.869,-0.53
305,9,-0.103,-18.525,-0.61
306,9,0.351,-18.53,-0.61
307,9,0.805,-18.535,-0.61
308,9,1.259,-18.54,-0.61
309,9,1.713,-18.545,-0.61
310,9,2.167,-18.55,-0.61
311,9,2.621,-18.554,-0.61
312,9,3.075,-18.559,-0.61
313,9,3.529,-18.564,-0.61
314,9,3.983,-18.569,-0.61
315,9,4.437,-18.574,-0.61
316,9,4.891,-18.579,-0.61
317,9,5.345,-18.584,-0.61
318,9,5.799,-18.588,-0.61
319,9,6.253,-18.593,-0.61
320,9,6.707,-18.598,-0.61
321,9,7.161,-18.603,-0.61
322,9,7.615,-18.608,-0.61
323,9,8.069,-18.613,-0.61
324,9,8.523,-18.618,-0.61
325,9,8.977,-18.622,-0.61
326,9,9.431,-18.627,-0.61
327,9,9.885,-18.632,-0.61
328,9,10.339,-18.637,-0.61
329,9,10.793,-18.642,-0.61
330,9,11.247,-18.647,-0.61
331,9,11.701,-18.652,-0.61
332,9,12.155,-18.657,-0.61
333,9,12.609,-18.661,-0.61
334,9,13.062,-18.666,-0.61
335,9,13.516,-18.671,-0.61
336,9,13.97,-18.676,-0.61
337,9,14.424,-18.681,-0.61
338,9,14.878,-18.686,-0.61
339,9,15.332,-18.691,-0.61
340,9,15.786,-18.695,-0.61
341,9,16.24,-18.7,-0.61
342,9,16.694,-18.705,-0.61
343,10,-0.086,-20.395,-0.38
344,10,0.37,-20.398,-0.38
345,10,0.826,-20.401,-0.38
346,10,1.282,-20.404,-0.38
347,10,1.738,-20.407,-0.38
348,10,2.194,-20.41,-0.38
349,10,2.65,-20.413,-0.38
350,10,3.106,-20.416,-0.38
351,10,3.563,-20.419,-0.38
352,10,4.019,-20.422,-0.38
353,10,4.475,-20.425,-0.38
354,10,4.931,-20.428,-0.38
355,10,5.387,-20.431,-0.38
356,10,5.843,-20.434,-0.38
357,10,6.299,-20.437,-0.38
358,10,6.755,-20.44,-0.38
359,10,7.211,-20.443,-0.38
360,10,7.668,-20.446,-0.38
361,10,8.124,-20.449,-0.38
362,10,8.58,-20.452,-0.38
363,10,9.036,-20.455,-0.38
364,10,9.492,-20.458,-0.38
365,10,9.948,-20.461,-0.38
366,10,10.404,-20.464,-0.38
367,10,10.86,-20.467,-0.38
368,10,11.317,-20.47,-0.38
369,10,11.773,-20.473,-0.38
370,10,12.229,-20.476,-0.38
371,10,12.685,-20.479,-0.38
372,10,13.141,-20.482,-0.38
373,10,13.597,-20.485,-0.38
374,10,14.053,-20.488,-0.38
375,10,14.509,-20.491,-0.38
376,10,14.965,-20.494,-0.38
377,10,15.422,-20.497,-0.38
378,10,15.878,-20.5,-0.38
379,10,16.334,-20.503,-0.38
380,10,16.79,-20.506,-0.38
